textID	ID(seq)		word	lemma	PoS
-----	-----		-----	-----	-----

124	2511368676	para	para	e
124	2511368677	programado	programar	vps-ms
124	2511368678	para	para	e
124	2511368679	el	el	ld-ms
124	2511368680	reinicio	reinicio	nms    
124	2511368681	de	de	e
124	2511368682	clases	clase	nfp    
124	2511368683	,	$,	y
124	2511368684	tras	tras	e
124	2511368685	las	la	ld-fp
124	2511368686	vacaciones	vacación	nfp    
124	2511368687	invernales	invernal	jmp    
124	2511368688	.	$.	y
1124	771612509	@@1124	##	
1124	771612510	Weretilneck	weretilneck	o
1124	771612511	anunció	anunciar	vis-3s
1124	771612512	que	que	cs
1124	771612513	se	se	po
1124	771612514	reforzará	reforzar	vif-3s
1124	771612515	la	la	ld-fs
1124	771612516	seguridad	seguridad	nfs    
1124	771612517	en	en	e
1124	771612518	Sierra	sierra	o
1124	771612519	Grande	grande	o
1124	771612520	Sierra	sierra	o
1124	771612521	Grande	grande	nms    
1124	771612522	.	$.	y
1124	771612523	-	hyfen	y
1124	771612524	El	el	ld-ms
1124	771612525	gobernador	gobernador	nms    
1124	771612526	de	de	e
1124	771612527	Río	río	o
1124	771612528	Negro	negro	o
1124	771612529	,	$,	y
1124	771612530	Alberto	alberto	o
1124	771612531	Weretilneck	weretilneck	o
1124	771612532	,	$,	y
1124	771612533	anunció	anunciar	vis-3s
1124	771612534	esta	este	dd-
1124	771612535	tarde	tarde	nfs    
1124	771612536	que	que	cs
1124	771612537	se	se	po
1124	771612538	trabajará	trabajar	vif-3s
1124	771612539	para	para	e
1124	771612540	refuncionalizar	refuncionalizar	n
1124	771612541	el	el	ld-ms
1124	771612542	destacamento	destacamento	nms    
1124	771612543	vial	vial	jms    
1124	771612544	de	de	e
1124	771612545	Sierra	sierra	o
1124	771612546	Grande	grande	o
1124	771612547	,	$,	y
1124	771612548	reemplazando	reemplazar	vpp
1124	771612549	el	el	ld-ms
1124	771612550	actual	actual	jms    
1124	771612551	por	por	e
1124	771612552	uno	uno	pi-0ms
1124	771612553	que	que	cs
1124	771612554	cumpla	cumplir	vsp-1/3s
1124	771612555	con	con	e
1124	771612556	todas	todo	dxfp-ind-
1124	771612557	las	el	ld-fp
1124	771612558	características	característica	nfp    
1124	771612559	necesarias	necesario	jfp    
1124	771612560	para	para	e
1124	771612561	mejorar	mejorar	vr
1124	771612562	el	el	ld-ms
1124	771612563	control	control	nms    
1124	771612564	de	de	e
1124	771612565	las	la	ld-fp
1124	771612566	rutas	ruta	nfp    
1124	771612567	.	$.	y
1124	771612568	Además	además	r
1124	771612569	,	$,	y
1124	771612570	confirmó	confirmar	vis-3s
1124	771612571	que	que	cs
1124	771612572	se	se	po
1124	771612573	dotará	dotar	vif-3s
1124	771612574	a	a	e
1124	771612575	la	la	ld-fs
1124	771612576	fuerza	fuerza	nfs    
1124	771612577	de	de	e
1124	771612578	dos	dos	mc
1124	771612579	nuevos	nuevo	jmp    
1124	771612580	vehículos	vehículo	nmp    
1124	771612581	y	y	cc
1124	771612582	se	se	po
1124	771612583	sumarán	sumar	vif-3p
1124	771612584	más	más	r
1124	771612585	agentes	agente	nmp    
1124	771612586	a	a	e
1124	771612587	las	la	ld-fp
1124	771612588	tareas	tarea	nfp    
1124	771612589	de	de	e
1124	771612590	prevención	prevención	nfs    
1124	771612591	.	$.	y
1124	771612592	Luego	luego	r
1124	771612593	de	de	e
1124	771612594	encabezar	encabezar	vr
1124	771612595	el	el	ld-ms
1124	771612596	acto	acto	nms    
1124	771612597	de	de	e
1124	771612598	colación	colación	nfs    
1124	771612599	de	de	e
1124	771612600	56	56	m$
1124	771612601	nuevos	nuevo	jmp    
1124	771612602	policías	policía	nmp    
1124	771612603	egresados	egresado	n
1124	771612604	de	de	e
1124	771612605	la	la	ld-fs
1124	771612606	Escuela	escuela	o
1124	771612607	de	de	e
1124	771612608	Suboficiales	suboficiales	o
1124	771612609	y	y	cc
1124	771612610	Agentes	agentes	o
1124	771612611	de	de	e
1124	771612612	Sierra	sierra	o
1124	771612613	Grande	grande	o
1124	771612614	,	$,	y
1124	771612615	el	el	ld-ms
1124	771612616	mandatario	mandatario	nms    
1124	771612617	dialogó	dialogar	vis-3s
